created_at,full_text
Fri Jan 12 16:44:17 +0000 2024,"SHOPEE https://t.co/902996qcYD  TOKOPEDIA https://t.co/HDOB9P1fQo  TIKTOK SHOP  https://t.co/SNKso93kzj  merapat jubah pria, jubah anak, jubah anak laki laki, #jubah #jubahanak #jubahpria #bajukokoanak #kokoanak #gamispria #jubahanaklakilaki #jubahlakilaki #gamisanaklakilaki https://t.co/e56xKjrmUk"
Fri Jan 12 16:43:34 +0000 2024,tiktok shop scares me https://t.co/czodoI0Nhy
Fri Jan 12 16:43:29 +0000 2024,"SHOPEE https://t.co/N9FsVt5OH3  TOKOPEDIA https://t.co/hocrUR3vOX  TIKTOK SHOP  https://t.co/7RKDm9gHoT  merapat jubah pria, jubah anak, jubah anak laki laki, #jubah #jubahanak #jubahpria #bajukokoanak #kokoanak #gamispria #jubahanaklakilaki #jubahlakilaki #gamisanaklakilaki"
Fri Jan 12 16:42:05 +0000 2024,"Shopback boleh pakai for tiktok shop dah okay! Jangan lupa shopback dulu before shopping! Rate % lagi banyak daripada shopee, tunggu apa lagi. Banyaklah shopping kat tiktok! ðŸ˜‚  Referral code if first timer: oCVnvf  ðŸ”—: https://t.co/Zf4NkFQuuE"
Fri Jan 12 16:26:55 +0000 2024,TikTok shop too tempting ðŸ˜©
Fri Jan 12 16:26:11 +0000 2024,weh tiktok shop gue kok ilang?
Fri Jan 12 16:16:37 +0000 2024,@tanyakanrl Keracunan tiktokshop ðŸ‘ðŸ˜‚ https://t.co/bMhBE1ZuUk
Fri Jan 12 16:12:11 +0000 2024,@putrkivepov KANN??? dahla sebijik babe dia tiru &amp  proudly jual on their tiktok shop ðŸ’€ elok sangat dedua brands tu copycats
Fri Jan 12 16:09:15 +0000 2024,Me: teka aku beli ni harga rm11 kat mana? Arina: shopee? Me: tiktok shop  Me: teka tudung rm3.90 aku beli kat mana Arina: tiktokshopâ€¦   ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚
Fri Jan 12 15:49:38 +0000 2024,Sad banget mau nangissss kena scam abangâ€ jual sepatu second di tiktokshop live ðŸ¥ºðŸ˜£ðŸ˜ž
Fri Jan 12 15:33:59 +0000 2024,takang taka na si ityan at pabalik balik aq sa shopee at tiktok shop HAHA bat nga ga daw di q icheck out sabayðŸ˜‚
Fri Jan 12 15:33:23 +0000 2024,Beli di tiktokshop         Beli di shopee ðŸ˜„ðŸ«¶ðŸ» https://t.co/M4rLJrTIW2
Fri Jan 12 15:26:24 +0000 2024,@ellrvlvstrajero alin po un tiktok shop nila??? di ko po alam hehehhe
Fri Jan 12 15:15:29 +0000 2024,"Aku juga pernah, mana 100 lebih bayarnya. Tiktokshop ðŸ˜­"
Fri Jan 12 15:10:14 +0000 2024,seru banget pada cosplay jualan tiktokshopðŸ˜­ðŸ˜­ https://t.co/K745fpBeji
Fri Jan 12 14:47:31 +0000 2024,Menyesal pulak beli kerepek kat tiktokshop. Tak sampai my expectation. Baik suruh mak belikan pekan isnin je harga sama with same price but  better taste
Fri Jan 12 14:45:00 +0000 2024,"lagii ada promo semua 1k nih harga dimulai dari 60k aja khusus hari jumat, semua bisa live, keranjang kuning, tiktokshop, semua data aman yaa ðŸ’¯  B19  wts wtb jual beli acc account cari need akun tiktok #zonauang  #zonajajaná… á… á…  https://t.co/ofxuAAOiml"
Fri Jan 12 14:42:40 +0000 2024,"Set batik, warna tidak luntur, 2 meter x2 (sepasang) sesuai buat baju  https://t.co/HEHh3Gbyhg  #TiktokShop #KainBatik #Batik https://t.co/qlhkZkB0Dl"
Fri Jan 12 14:39:44 +0000 2024,Kain songket tenun bunga tabur  https://t.co/QNoLoREIt4  #Songket #KainSongket #TiktokShop https://t.co/BIXtBhvCx3
Fri Jan 12 14:35:16 +0000 2024,Tiktokshop ni apa ya cuk lama lama bikin miskin ðŸ¥µ
Fri Jan 12 14:29:32 +0000 2024,"wts acc tiktok  â€” followers real indo â€” konten random â€” live game + tiktokshop â€” bisa naro link web â€” bisa ganti data (email,no,usn)  #zonauang https://t.co/c92REWMYIc"
Fri Jan 12 14:22:54 +0000 2024,@tiktokmy hi saya nak buat report tentang pembelian saya melalui tiktok shop
Fri Jan 12 14:18:51 +0000 2024,"Link dibio no.126 ya https://t.co/p5Rji8zMhT langsung cek aja  Link ada dibio ya,mari yang suka belanja âœ¨  #belanjahappy#bikinhappybelanja #racunbelanjatermurah #belanjaonlinehaul#shopeeehaul#rushaastoree#maribelanjasama #belanjasukasukaa #informasiperabotan #tiktokshop https://t.co/qigybCTAX0"
Fri Jan 12 14:13:37 +0000 2024,"DPR Soroti 2 Kementerian Tak Kompak soal Izin Kembali Beroperasinya TikTok Shop, Ada Apa? https://t.co/9dWGIztRbw"
Fri Jan 12 14:09:34 +0000 2024,@blovedsha tiktokshop kaah apa promosinya dr tiktok? :')
Fri Jan 12 14:07:30 +0000 2024,sebenarnya i boleh je kaya kalau takde shopee tiktok shop shein tu semua.
Fri Jan 12 14:03:31 +0000 2024,"wts acc tiktok  â€” followers real indo â€” konten random â€” live game + tiktokshop â€” bisa naro link web â€” bisa ganti data (email,no,usn) #zonauang #zonajajan https://t.co/MEKfQR41OM"
Fri Jan 12 13:57:09 +0000 2024,"Bismillah sore ready akun tiktok no minus, bisa live, tiktok shop affliate on (min 1k fols), tempel web di bisa, email &amp  no hp bisa ganti, akun sehat, order wa di bio ðŸ’¥  TESTI 900+ : https://t.co/aWFkx2nkBQ  wtb wts need jual acc akun tiktok no minus #ZonaUang #zonajajan https://t.co/WBPMlxds15"
Fri Jan 12 13:57:04 +0000 2024,"DPR Soroti 2 Kementerian Tak Kompak soal Izin Kembali Beroperasinya TikTok Shop, Ada Apa? https://t.co/U3jXpKCbBC"
Fri Jan 12 13:40:00 +0000 2024,"lagii ada promo semua 1k nih harga dimulai dari 60k aja khusus hari jumat, semua bisa live, keranjang kuning, tiktokshop, semua data aman yaa ðŸŽŠ  B18  wts wtb jual beli acc account cari need akun tiktok #zonauang  #zonajajaná… á… á…  https://t.co/c9yn5xYkih"
Fri Jan 12 13:35:42 +0000 2024,tiktok shop pengirimannya lama banget anjinh
Fri Jan 12 13:35:15 +0000 2024,@jaywonlanggeng @convomf huee pas aku cek habis yang enhaðŸ˜­btw ini tuh yang ada di tiktok shop juga gak sih kak??
Fri Jan 12 13:26:32 +0000 2024,"wts acc tiktok  â€” followers real indo â€” konten random â€” live game + tiktokshop â€” bisa naro link web â€” bisa ganti data (email,no,usn)  #zonauang https://t.co/Uu3kDJxmNP"
Fri Jan 12 13:10:29 +0000 2024,@youraqila @banjarbase Mengonten dimana? Kalo shopee aff wahini ngalih. Lebih baik ke tiktokshop aja ujar urang lebih cuan
Fri Jan 12 12:54:21 +0000 2024,"ready kak harga murce, 45 ribu aja udh bisa live cam &amp  game + tiktok shop affiliate on https://t.co/9xlwSw6OCK"
Fri Jan 12 12:43:15 +0000 2024,Gak lagi deh main tiktokshop. Gajelas dah lama ditambah gajelas
Fri Jan 12 12:42:49 +0000 2024,"Ready jual akun tiktok murah nih bsa live, tiktok shop affliate on (min 1.000 fols), tempel web di bio, email/no hp bsa ganti, akun sehat, order bsa wa isyaðŸ˜²  TESTIMONI 900+ : https://t.co/TrqIe40vSj  wtb wts need jual acc akun tiktok murah #ZonaUang #zonajajan https://t.co/Kiiw7cw1Lo"
Fri Jan 12 12:41:38 +0000 2024,"Ready jual akun tiktok murah nih bsa live, tiktok shop affliate on (min 1.000 fols), tempel web di bio, email/no hp bsa ganti, akun sehat, order bsa wa isyaðŸ˜²  TESTIMONI 900+ : https://t.co/TrqIe40vSj  wtb wts need jual acc akun tiktok murah #ZonaUang #zonajajan https://t.co/DYuHjL5QpS"
Fri Jan 12 12:35:00 +0000 2024,"lagii ada promo semua 1k nih harga dimulai dari 60k aja khusus hari jumat, semua bisa live, keranjang kuning, tiktokshop, semua data aman yaa ðŸ˜  B17  wts wtb jual beli acc account cari need akun tiktok #zonauang  #zonajajaná… á… á…  https://t.co/uGgJCeVPZe"
Fri Jan 12 12:33:27 +0000 2024,ð™ð™Šð™‹ 1 smartphone dan live streaming views realme C53 di TikTok Shop dengan Baim Wong ðŸ’¥ https://t.co/9SuVhWeJIM
Fri Jan 12 12:32:57 +0000 2024,MALAM INIâ€¼ï¸  Pelatihan Tiktok Shop. Mangga bagi teman2 yang tidak bisa masuk zoom. Bisa ikut serta via live youtube. Semoga bermanfaat ðŸ‘  https://t.co/I0aGw9NV1X
Fri Jan 12 12:30:53 +0000 2024,"Ready jual akun tiktok murah nih bsa live, tiktok shop affliate on (min 1.000 fols), tempel web di bio, email/no hp bsa ganti, akun sehat, order bsa wa isyaðŸ˜  TESTIMONI 900+ : https://t.co/p2dmrcwAgS  wtb wts need jual acc akun tiktok murah #ZonaUang #zonajajan https://t.co/qGJlzos7WM"
Fri Jan 12 12:30:43 +0000 2024,"Ready jual akun tiktok murah nih bsa live, tiktok shop affliate on (min 1.000 fols), tempel web di bio, email/no hp bsa ganti, akun sehat, order bsa wa isyaðŸ’­  TESTIMONI 900+ : https://t.co/p2dmrcwAgS  wtb wts need jual acc akun tiktok murah #ZonaUang #zonajajan https://t.co/jHs5JaK0av"
Fri Jan 12 12:21:20 +0000 2024,Jelek bgt tiktokshop sekarang. Masa udh 1 Minggu gak nyampeÂ² barangnya. Malah kemarin sampe udh hampir 3 minggu muterÂ² doang di lokasi transit.
Fri Jan 12 12:20:14 +0000 2024,DPR Bakal Dalami Beda Sikap Kemenkop UKM dan Kemendag soal TikTok Shop https://t.co/J0zgVzXw6Q
Fri Jan 12 12:16:58 +0000 2024,Lihat video Kensifio Shop! #TikTok https://t.co/DQB17megEU
Fri Jan 12 12:16:42 +0000 2024,Lihat video Kensifio Shop! #TikTok https://t.co/FEhpt0pFRq
Fri Jan 12 12:16:28 +0000 2024,Lihat video Kensifio Shop! #TikTok https://t.co/Ty0nZZtsSr
Fri Jan 12 12:15:15 +0000 2024,Lihat video Kensifio Shop! #TikTok https://t.co/dFXWpepHxt
Fri Jan 12 12:14:43 +0000 2024,Lihat video Kensifio Shop! #TikTok https://t.co/scd6XaAZ2H
Fri Jan 12 12:14:23 +0000 2024,Lihat video Kensifio Shop! #TikTok https://t.co/mHlrRGYsxV
